id,estate,town,school,km,car_am_min,pt_am_min,adv_am_min,car_pm_min,pt_pm_min,adv_pm_min,adv_day_min,depart_car,depart_pt,arrive_car,arrive_pt,pt_walk_min,pt_wait_min,pt_transfers,car_raw_am
43,Ang Mo Kio – Ang Mo Kio Avenue 4,Ang Mo Kio,Beatty Secondary School,4.26,25.1,37.2,12.1,20.2,37.2,17.0,29.1,07:05,06:53,16:20,16:37,29.6,0.0,0,14.9
44,Geylang – Cassia Crescent,Geylang,Singapore Chinese Girls' School,6.3,24.6,36.5,11.9,24.8,39.1,14.3,26.2,07:05,06:54,16:25,16:39,18.0,2.9,1,14.5
45,Woodlands – Woodlands Drive 16,Woodlands,Tanjong Katong Secondary School,18.26,49.4,84.3,34.9,43.2,75.3,32.1,67.0,06:41,06:06,16:43,17:15,15.2,7.3,1,32.9
46,Punggol – Punggol Place,Punggol,Greendale Secondary School,1.16,10.8,17.6,6.8,10.4,17.6,7.2,14.0,07:19,07:12,16:10,16:18,17.6,0.0,0,4.3
47,Jurong West – Yung Ping Road,Jurong West,Tanjong Katong Girls' School,19.54,49.7,76.2,26.5,42.3,75.0,32.7,59.2,06:40,06:14,16:42,17:15,11.4,4.3,2,33.1
48,Tengah – Plantation Crescent,Tengah,West Spring Secondary School,4.56,19.7,34.3,14.6,20.1,34.8,14.7,29.3,07:10,06:56,16:20,16:35,8.6,3.8,1,10.9
49,Tengah – Tengah Garden Avenue,Tengah,"School Of Science And Technology, Singapore",6.71,26.5,43.9,17.4,27.5,47.1,19.6,37.0,07:04,06:46,16:28,16:47,5.7,10.3,1,15.9
50,Bedok – Jalan Tenaga,Bedok,Methodist Girls' School,13.63,38.3,62.1,23.8,33.8,62.2,28.4,52.2,06:52,06:28,16:34,17:02,20.1,0.0,0,24.7
51,Pasir Ris – Pasir Ris Street 21,Pasir Ris,Singapore Chinese Girls' School,15.65,44.3,71.1,26.8,37.7,67.1,29.4,56.2,06:46,06:19,16:38,17:07,13.6,2.7,1,29.1
52,Central Area – Tanjong Pagar Plaza,Central Area,School Of The Arts,2.65,16.7,23.0,6.3,13.9,22.2,8.3,14.6,07:13,07:07,16:14,16:22,12.8,0.0,0,8.7
53,Toa Payoh – Potong Pasir Avenue 1,Toa Payoh,Kranji Secondary School,15.19,43.9,102.7,58.8,38.2,75.5,37.3,96.1,06:46,05:47,16:38,17:16,21.4,9.0,2,28.8
54,Tampines – Tampines Street 21,Tampines,Edgefield Secondary School,7.42,25.8,52.4,26.6,23.1,39.5,16.4,43.0,07:04,06:38,16:23,16:40,20.8,7.6,1,15.4
55,Sengkang – Fernvale Road,Sengkang,Tampines Secondary School,9.16,35.5,54.4,18.9,29.5,54.0,24.5,43.4,06:54,06:36,16:30,16:54,13.1,5.5,2,22.6
57,Tengah – Tengah Garden Avenue,Tengah,Peirce Secondary School,10.89,41.7,99.0,57.3,38.5,100.5,62.0,119.3,06:48,05:51,16:38,17:40,28.6,13.5,2,27.2
58,Central Area – Klang Lane,Central Area,Fuchun Secondary School,16.08,46.2,70.6,24.4,38.2,66.7,28.5,52.9,06:44,06:19,16:38,17:07,17.1,6.4,2,30.5
59,Sengkang – Compassvale Link,Sengkang,Compassvale Secondary School,1.31,11.2,31.1,19.9,10.8,32.1,21.3,41.2,07:19,06:59,16:11,16:32,23.8,0.0,0,4.6
60,Tampines – Tampines Street 21,Tampines,Ang Mo Kio Secondary School,12.14,43.7,66.8,23.1,37.8,58.8,21.0,44.1,06:46,06:23,16:38,16:59,22.4,8.3,2,28.7
61,Bukit Panjang – Petir Road,Bukit Panjang,Admiralty Secondary School,8.47,30.2,46.1,15.9,27.4,47.3,19.9,35.8,07:00,06:44,16:27,16:47,19.4,2.1,1,18.7
62,Tampines – Tampines Street 21,Tampines,Yishun Town Secondary School,15.26,49.6,107.7,58.1,42.9,95.8,52.9,111.0,06:40,05:42,16:43,17:36,39.8,7.4,2,33.0
64,Jurong West – Jurong West Street 81,Jurong West,Chij Saint Theresa'S Convent,16.07,40.1,55.2,15.1,33.5,49.3,15.8,30.9,06:50,06:35,16:34,16:49,14.9,6.7,2,26.0
65,Bishan – Bishan Street 13,Bishan,Yishun Town Secondary School,9.6,37.5,61.1,23.6,34.1,63.8,29.7,53.3,06:52,06:29,16:34,17:04,37.3,4.9,1,24.1
66,Kallang/Whampoa – Dakota Crescent,Kallang/Whampoa,Paya Lebar Methodist Girls' School,4.75,23.6,28.9,5.3,19.3,27.3,8.0,13.3,07:06,07:01,16:19,16:27,10.1,3.7,1,13.8
67,Geylang – Circuit Road,Geylang,Ahmad Ibrahim Secondary School,13.62,47.4,99.6,52.2,38.8,97.2,58.4,110.6,06:43,05:50,16:39,17:37,53.6,7.6,2,31.4
69,Clementi – Clementi Avenue 3,Clementi,Yishun Town Secondary School,15.26,54.8,93.0,38.2,48.7,81.8,33.1,71.3,06:35,05:57,16:49,17:22,29.9,7.2,2,36.9
70,Jurong East – Teban Gardens Road,Jurong East,Swiss Cottage Secondary School,4.96,25.7,45.5,19.8,23.1,38.8,15.7,35.5,07:04,06:44,16:23,16:39,12.8,3.0,1,15.3
71,Choa Chu Kang – Teck Whye Lane,Choa Chu Kang,Victoria School,21.1,55.5,86.7,31.2,47.2,90.0,42.8,74.0,06:34,06:03,16:47,17:30,23.3,7.9,2,37.4
72,Kallang/Whampoa – Race Course Road,Kallang/Whampoa,Catholic High School,4.65,22.8,57.9,35.1,24.2,64.0,39.8,74.9,07:07,06:32,16:24,17:04,36.3,4.5,2,13.2
73,Sengkang – Compassvale Street,Sengkang,Damai Secondary School,7.05,32.4,45.8,13.4,27.3,50.7,23.4,36.8,06:58,06:44,16:27,16:51,7.5,5.9,2,20.3
74,Clementi – Clementi Avenue 3,Clementi,Nanyang Girls' High School,4.27,20.9,28.1,7.2,19.0,37.6,18.6,25.8,07:09,07:02,16:19,16:38,9.6,0.0,0,11.8
75,Toa Payoh – Kim Keat Link,Toa Payoh,Saint Andrew'S Secondary School,1.02,14.9,23.0,8.1,15.5,23.0,7.5,15.6,07:15,07:07,16:16,16:23,23.0,0.0,0,7.3
76,Queenstown – Strathmore Avenue,Queenstown,Crescent Girls' School,0.86,9.2,12.8,3.6,9.6,12.8,3.2,6.8,07:21,07:17,16:10,16:13,12.8,0.0,0,3.1
78,Queenstown – Commonwealth Crescent,Queenstown,Ang Mo Kio Secondary School,8.36,34.0,52.9,18.9,31.9,43.5,11.6,30.5,06:56,06:37,16:32,16:44,24.9,6.2,2,21.5
79,Central Area – Waterloo Street,Central Area,Queensway Secondary School,5.57,24.7,77.1,52.4,21.6,73.2,51.6,104.0,07:05,06:13,16:22,17:13,46.2,10.4,2,14.6
80,Bukit Merah – Lengkok Bahru,Bukit Merah,Boon Lay Secondary School,13.53,38.8,58.2,19.4,33.8,62.3,28.5,47.9,06:51,06:32,16:34,17:02,23.6,5.4,2,25.0
81,Punggol – Punggol Drive,Punggol,Pasir Ris Secondary School,6.62,24.6,64.2,39.6,22.0,55.0,33.0,72.6,07:05,06:26,16:22,16:55,21.6,7.9,2,14.5
82,Bedok – Bedok South Avenue 2,Bedok,Assumption English School,19.35,50.4,78.7,28.3,43.1,92.2,49.1,77.4,06:40,06:11,16:43,17:32,21.2,7.1,2,33.6
83,Toa Payoh – Lorong 4 Toa Payoh,Toa Payoh,Swiss Cottage Secondary School,11.48,39.6,71.5,31.9,34.9,62.3,27.4,59.3,06:50,06:18,16:35,17:02,24.0,0.0,0,25.6
84,Pasir Ris – Pasir Ris Street 51,Pasir Ris,Nan Hua High School,21.35,57.5,77.2,19.7,51.8,73.4,21.6,41.3,06:32,06:13,16:52,17:13,15.2,4.1,1,38.9
85,Tampines – Tampines Street 21,Tampines,Northbrooks Secondary School,13.89,49.7,91.6,41.9,43.6,81.9,38.3,80.2,06:40,05:58,16:44,17:22,25.6,7.5,2,33.1
86,Choa Chu Kang – Choa Chu Kang North 6,Choa Chu Kang,Temasek Secondary School,23.98,63.7,95.1,31.4,55.4,82.2,26.8,58.2,06:26,05:55,16:55,17:22,5.9,6.7,2,43.5
87,Tengah – Plantation Crescent,Tengah,Dunman High School,17.6,47.7,76.2,28.5,45.2,73.0,27.8,56.3,06:42,06:14,16:45,17:13,16.2,11.9,2,31.6
88,Geylang – Circuit Road,Geylang,Woodgrove Secondary School,15.06,43.9,56.6,12.7,38.6,60.1,21.5,34.2,06:46,06:33,16:39,17:00,18.1,3.4,1,28.8
89,Jurong East – Jurong East Street 21,Jurong East,"School Of Science And Technology, Singapore",5.05,20.7,21.8,1.1,21.7,29.1,7.4,8.5,07:09,07:08,16:22,16:29,4.8,0.0,0,11.6
90,Punggol – Edgedale Plains,Punggol,Singapore Chinese Girls' School,12.48,39.8,49.8,10.0,38.8,52.6,13.8,23.8,06:50,06:40,16:39,16:53,14.8,6.0,2,25.8
91,Jurong West – Jurong West Street 42,Jurong West,Bukit Merah Secondary School,12.24,34.8,53.3,18.5,32.6,50.5,17.9,36.4,06:55,06:37,16:33,16:50,10.5,8.0,2,22.1
92,Yishun – Yishun Street 22,Yishun,Regent Secondary School,10.72,45.0,49.1,4.1,37.2,40.0,2.8,6.9,06:45,06:41,16:37,16:40,17.3,3.1,1,29.6
94,Geylang – Sims Drive,Geylang,Bedok View Secondary School,7.5,29.6,38.0,8.4,24.0,32.7,8.7,17.1,07:00,06:52,16:24,16:33,16.2,5.7,2,18.2
95,Yishun – Yishun Street 11,Yishun,Bendemeer Secondary School,12.04,43.1,45.8,2.7,37.0,44.4,7.4,10.1,06:47,06:44,16:37,16:44,12.3,3.0,1,28.2
96,Tampines – Tampines Street 21,Tampines,Fajar Secondary School,20.94,53.2,83.9,30.7,44.8,83.4,38.6,69.3,06:37,06:06,16:45,17:23,17.6,0.0,0,35.7
97,Tengah – Sungei Tengah Road,Tengah,Anglo-Chinese School,11.72,44.7,109.2,64.5,37.9,80.0,42.1,106.6,06:45,05:41,16:38,17:20,52.1,8.1,2,29.4
98,Choa Chu Kang – Teck Whye Lane,Choa Chu Kang,Woodlands Secondary School,7.08,28.9,33.3,4.4,25.8,39.8,14.0,18.4,07:01,06:57,16:26,16:40,10.6,5.3,2,17.7
99,Jurong East – Jurong East Street 31,Jurong East,Whitley Secondary School,12.44,41.3,84.1,42.8,36.4,100.0,63.6,106.4,06:49,06:06,16:36,17:40,41.7,9.3,2,26.9
100,Clementi – Clementi West Street 2,Clementi,Deyi Secondary School,11.97,44.0,60.2,16.2,34.7,57.8,23.1,39.3,06:46,06:30,16:35,16:58,14.1,8.3,2,28.9
